Round,Condition,ADE,FDE,Update_time_s,Latency_ms
0,Clean Baseline,0.44279383768637975,0.6678714821736018,0.0,87.57482767105103
1,R1 Before Update (drifted),0.9184325615564982,0.9927903562784195,0.0,0.0
1,R1 After Update (drifted),0.8905764192342758,0.9075830722848575,0.6520867347717285,87.60797580083211
1,R1 After Update (clean),0.464766567448775,0.6589905003706614,0.6520867347717285,87.60797580083211
2,R2 Before Update (drifted),1.3802134027083715,1.4124458581209183,0.0,0.0
2,R2 After Update (drifted),1.4082086582978566,1.4827073007822036,0.6432986259460449,90.43280283610027
2,R2 After Update (clean),0.4721482867995898,0.6882356750468414,0.6432986259460449,90.43280283610027
3,R3 Before Update (drifted),3.906964484850566,3.3450983146826427,0.0,0.0
3,R3 After Update (drifted),3.674878090620041,3.3957184672355654,0.6377782821655273,426.5576759974162
3,R3 After Update (clean),0.48141069735089936,0.7087915952006976,0.6377782821655273,426.5576759974162
