Window,Sigma,Mean,Std,Min,Max
0,0.0,0.03454773128032684,0.34187543392181396,-0.963013768196106,2.180030107498169
1,0.0,0.033950403332710266,0.34244269132614136,-1.2774699926376343,2.0834999084472656
2,0.0,0.02676558680832386,0.33618906140327454,-1.1007299423217773,1.7803599834442139
3,0.01,0.0032273896504193544,0.30692702531814575,-0.9803003072738647,2.0744540691375732
4,0.02,0.01767362281680107,0.33035144209861755,-1.3055522441864014,1.823455572128296
5,0.05,0.04329105094075203,0.36190730333328247,-1.5166375637054443,2.338928461074829
6,0.05,0.02340727113187313,0.33752819895744324,-1.2812820672988892,1.91551673412323
7,0.1,0.016521869227290154,0.350191205739975,-1.616410732269287,2.221727132797241
8,0.1,0.02023736573755741,0.3278908431529999,-1.4990538358688354,1.868390440940857
9,0.2,0.03796284645795822,0.3998192548751831,-1.9233688116073608,2.4196670055389404
